Gene name in Model,Gene ID,Reaction,Reaction Name,Reaction Formula,GPR in model,Pathway
208606,DVU3090,rxn10161,Octadecanoate transport via proton symport,cpd00067[e] + cpd01080[e]  <=> cpd00067[c] + cpd01080[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
208606,DVU3090,rxn10162,Hexadecanoate transport via proton symport,cpd00067[e] + cpd00214[e]  <=> cpd00067[c] + cpd00214[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
208606,DVU3090,rxn10163,Tetradecanoate transport via proton symport,cpd03847[e] + cpd00067[e]  <=> cpd03847[c] + cpd00067[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
206996,DVU1548,rxn10161,Octadecanoate transport via proton symport,cpd00067[e] + cpd01080[e]  <=> cpd00067[c] + cpd01080[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
206996,DVU1548,rxn10162,Hexadecanoate transport via proton symport,cpd00067[e] + cpd00214[e]  <=> cpd00067[c] + cpd00214[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
206996,DVU1548,rxn10163,Tetradecanoate transport via proton symport,cpd03847[e] + cpd00067[e]  <=> cpd03847[c] + cpd00067[c] ,(( 208606 ) or ( 206996 )),Fatty acid degradation regulons
207874,DVU2386,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05539,Dipeptide transport via ABC system (cgly),cpd00001[c] + cpd00002[c] + cpd01017[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd01017[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05545,Dipeptide transport via ABC system (ala-thr),cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11582[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05541,Dipeptide transport via ABC system (ala-glu),cpd11586[e] + cpd00001[c] + cpd00002[c]  -> cpd11586[c] + cpd00009[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05547,Dipeptide transport via ABC system (gly-gln),cpd11580[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11580[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05538,Dipeptide transport via ABC system (gly-pro-L),cpd11588[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11588[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05546,Dipeptide transport via ABC system (gly-asn),cpd00001[c] + cpd11581[e] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11581[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207874,DVU2386,rxn05540,Dipeptide transport via ABC system (ala-gln),cpd11587[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11587[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05539,Dipeptide transport via ABC system (cgly),cpd00001[c] + cpd00002[c] + cpd01017[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd01017[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05545,Dipeptide transport via ABC system (ala-thr),cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11582[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05541,Dipeptide transport via ABC system (ala-glu),cpd11586[e] + cpd00001[c] + cpd00002[c]  -> cpd11586[c] + cpd00009[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05547,Dipeptide transport via ABC system (gly-gln),cpd11580[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11580[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05538,Dipeptide transport via ABC system (gly-pro-L),cpd11588[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11588[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05546,Dipeptide transport via ABC system (gly-asn),cpd00001[c] + cpd11581[e] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11581[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207955,DVU2461,rxn05540,Dipeptide transport via ABC system (ala-gln),cpd11587[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11587[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05539,Dipeptide transport via ABC system (cgly),cpd00001[c] + cpd00002[c] + cpd01017[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd01017[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05545,Dipeptide transport via ABC system (ala-thr),cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11582[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05541,Dipeptide transport via ABC system (ala-glu),cpd11586[e] + cpd00001[c] + cpd00002[c]  -> cpd11586[c] + cpd00009[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05547,Dipeptide transport via ABC system (gly-gln),cpd11580[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11580[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05538,Dipeptide transport via ABC system (gly-pro-L),cpd11588[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11588[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05546,Dipeptide transport via ABC system (gly-asn),cpd00001[c] + cpd11581[e] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11581[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
207956,DVU2462,rxn05540,Dipeptide transport via ABC system (ala-gln),cpd11587[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11587[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05539,Dipeptide transport via ABC system (cgly),cpd00001[c] + cpd00002[c] + cpd01017[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd01017[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05545,Dipeptide transport via ABC system (ala-thr),cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11582[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05541,Dipeptide transport via ABC system (ala-glu),cpd11586[e] + cpd00001[c] + cpd00002[c]  -> cpd11586[c] + cpd00009[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05547,Dipeptide transport via ABC system (gly-gln),cpd11580[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11580[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05538,Dipeptide transport via ABC system (gly-pro-L),cpd11588[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11588[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05546,Dipeptide transport via ABC system (gly-asn),cpd00001[c] + cpd11581[e] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11581[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209098,DVU0165,rxn05540,Dipeptide transport via ABC system (ala-gln),cpd11587[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11587[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05539,Dipeptide transport via ABC system (cgly),cpd00001[c] + cpd00002[c] + cpd01017[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd01017[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05545,Dipeptide transport via ABC system (ala-thr),cpd00001[c] + cpd00002[c] + cpd11582[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11582[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05541,Dipeptide transport via ABC system (ala-glu),cpd11586[e] + cpd00001[c] + cpd00002[c]  -> cpd11586[c] + cpd00009[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05547,Dipeptide transport via ABC system (gly-gln),cpd11580[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11580[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05538,Dipeptide transport via ABC system (gly-pro-L),cpd11588[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11588[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05546,Dipeptide transport via ABC system (gly-asn),cpd00001[c] + cpd11581[e] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11581[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
209099,DVU0166,rxn05540,Dipeptide transport via ABC system (ala-gln),cpd11587[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11587[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05536,Dipeptide transport via ABC system (met-ala),cpd11590[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11590[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05537,Dipeptide transport via ABC system (gly-asp),cpd11589[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11589[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05544,Dipeptide transport via ABC system (ala-leu),cpd00001[c] + cpd00002[c] + cpd11583[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11583[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05542,Dipeptide transport via ABC system (ala-gly),cpd00001[c] + cpd00002[c] + cpd11585[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd11585[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05535,Dipeptide transport via ABC system (gly-met),cpd11591[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11591[c] + cpd00067[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05543,Dipeptide transport via ABC system (ala-his),cpd11584[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11584[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05534,Dipeptide transport via ABC system (gly-glu),cpd11592[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11592[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
208073,DVU2576,rxn05533,Dipeptide transport via ABC system (ala-asp),cpd11593[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00067[c] + cpd11593[c] + cpd00008[c] ,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),Transporters 
